film,release_date,gross_domestic,gross_international,gross_worldwide,budget,mcu,phase,distributor,MPAA_Rating,length,minutes,franchise,character_family,domestic_percentage,gross_to_budget,rotten_tomatoes_critic_score,lead_gender,year,inflation_adjusted_worldwide_gross,inflation_adjusted_budget,2.5x_prod,break_even
Justice League,2017-11-17,229024295,432300000,661324295,300000000,FALSE,NA,Warner Bros.,PG-13,0.083333333,120,DC,Justice League,35,2.2,39,Male,2017,822073106,372921324,750000000,Flop
Black Panther,2018-2-16,700426566,649499517,1349926083,200000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,0.093055556,134,Marvel,Black Panther,52,6.75,96,Male,2018,1349926083,200000000,500000000,Success
Avengers: Infinity War,2018-4-27,678815482,1373599557,2052415039,325000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,0.103472222,149,Marvel,Avengers,33,6.32,85,Male,2018,2052415039,325000000,812500000,Success
Deadpool 2,2018-5-18,318491426,416055185,734546611,110000000,FALSE,NA,Twentieth Century Fox,R,0.082638889,119,Marvel,X-Men,43,6.68,84,Male,2018,734546611,110000000,275000000,Success
Ant-Man and the Wasp,2018-7-6,216648740,406025399,622674139,162000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,0.081944444,118,Marvel,Ant-Man,35,3.84,87,Co-starring,2018,622674139,162000000,405000000,Success
Teen Titans Go! To the Movies,2018-7-27,29790236,22600000,52390236,10000000,FALSE,NA,Warner Bros.,PG,0.058333333,84,DC,Teen Titans,57,5.24,91,Co-starring,2018,63572054,12134333,25000000,Success
Venom,2018-10-5,213515506,642569645,856085151,100000000,FALSE,NA,Sony Pictures Entertainment ,PG-13,0.077777778,112,Marvel,Spider-Man Allies and Villains,25,8.56,30,Male,2018,856085151,100000000,250000000,Success
Spider-Man: Into the Spider-Verse,2018-12-14,190241310,194057426,384298736,90000000,FALSE,NA,Sony Pictures Entertainment ,PG,0.08125,117,Marvel,Spider-Man,50,4.27,97,Male,2018,384298736,90000000,225000000,Success
Aquaman,2018-12-21,335061807,816900000,1151961807,160000000,FALSE,NA,Warner Bros.,PG-13,0.099305556,143,DC,Aquaman,29,7.2,66,Male,2018,1397828760,194149320,400000000,Success
Captain Marvel,2019-3-8,426829839,704586607,1131416446,152000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,0.085416667,123,Marvel,Captain Marvel,38,7.44,79,Female,2019,1131416446,152000000,380000000,Success
Shazam!,2019-4-5,140480049,227318962,367799011,100000000,FALSE,NA,Warner Bros.,PG-13,0.091666667,132,DC,Shazam,38,3.68,90,Male,2019,438356630,119183744,250000000,Success
Avengers: Endgame,2019-4-26,858373000,1941066100,2799439100,356000000,TRUE,3,Walt Disney Studios Motion Pictures,PG-13,0.125694444,181,Marvel,Avengers,31,7.86,94,Male,2019,2799439100,356000000,890000000,Success
Dark Phoenix,2019-6-7,65845974,186597000,252442974,200000000,FALSE,NA,Twentieth Century Fox,PG-13,0.078472222,113,Marvel,X-Men,26,1.26,22,Female,2019,252442974,200000000,500000000,Flop
Spider-Man: Far From Home,2019-7-2,390532085,741395911,1131927996,160000000,TRUE,3,Sony Pictures Entertainment ,PG-13,0.089583333,129,Marvel,Spider-Man,35,7.07,90,Male,2019,1131927996,160000000,400000000,Success
Joker,2019-10-4,335477657,743480625,1078958282,55000000,FALSE,NA,Warner Bros.,R,0.084722222,122,DC,Batman,31,19.62,69,Male,2019,1285942872,65551059,137500000,Success
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020-2-7,84172791,121200000,205372791,84500000,FALSE,NA,Warner Bros.,R,0.075694444,109,DC,Birds of Prey,41,2.43,78,Female,2020,241788079,99482958,211250000,Flop
The New Mutants,2020-8-28,23852659,25316935,49169594,67000000,FALSE,NA,20th Century Studios,PG-13,0.065277778,94,Marvel,X-Men,49,0.73,36,Co-starring,2020,49169594,67000000,167500000,Flop
Wonder Woman 1984,2020-12-25,46801036,122800000,169601036,200000000,FALSE,NA,Warner Bros.,PG-13,0.104861111,151,DC,Wonder Woman,28,0.85,58,Female,2020,199673523,235462622,500000000,Flop
Black Widow,2021-7-9,183651655,196100000,379751655,247500000,TRUE,4,Walt Disney Studios Motion Pictures,PG-13,0.093055556,134,Marvel,Black Widow,48,1.53,79,Female,2021,379751655,247500000,618750000,Flop
The Suicide Squad,2021-8-6,55817425,112900000,168717425,185000000,FALSE,NA,Warner Bros.,R,0.091666667,132,DC,Suicide Squad,33,0.91,90,Male,2021,189720141,208029645,462500000,Flop
Shang-Chi and the Legend of the Ten Rings,2021-9-3,224543292,207700000,432243292,200000000,TRUE,4,Walt Disney Studios Motion Pictures,PG-13,0.091666667,132,Marvel,Shang-Chi,52,2.16,92,Male,2021,432243292,200000000,500000000,Flop
Venom: Let There Be Carnage,2021-10-1,213550366,293313226,506863592,110000000,FALSE,NA,Sony Pictures Entertainment ,PG-13,0.067361111,97,Marvel,Spider-Man Allies and Villains,42,4.61,57,Male,2021,506863592,110000000,275000000,Success
Eternals,2021-11-5,164870234,237194665,402064899,236200000,TRUE,4,Walt Disney Studios Motion Pictures,PG-13,0.108333333,156,Marvel,Eternals,41,1.7,47,Female,2021,402064899,236200000,590500000,Flop
Spider-Man: No Way Home,2021-12-17,814115070,1107732041,1921847111,200000000,TRUE,4,Sony Pictures Entertainment ,PG-13,0.102777778,148,Marvel,Spider-Man,42,9.61,93,Male,2021,1921847111,200000000,500000000,Success
The Batman,2022-3-4,369345583,402900000,772245583,200000000,FALSE,NA,Warner Bros.,PG-13,0.122222222,176,DC,Batman,48,3.86,85,Male,2022,804033595,208232617,500000000,Success
Morbius,2022-4-1,73865530,93595431,167460961,75000000,FALSE,NA,Columbia Pictures,PG-13,0.072222222,104,Marvel,Spider-Man Allies and Villains,44,2.23,15,Male,2022,167460961,75000000,187500000,Flop
Doctor Strange in the Multiverse of Madness,2022-5-6,411331607,544444197,955775804,294500000,TRUE,4,Walt Disney Studios Motion Pictures,PG-13,0.0875,126,Marvel,Doctor Strange,43,3.25,73,Male,2022,955775804,294500000,736250000,Success
Thor: Love and Thunder,2022-7-8,343256830,417671251,760928081,250000000,TRUE,4,Walt Disney Studios Motion Pictures,PG-13,0.081944444,118,Marvel,Thor,45,3.04,63,Male,2022,760928081,250000000,625000000,Success
DC League of Super-Pets,2022-7-29,93657117,113900000,207557117,90000000,FALSE,NA,Warner Bros.,PG,0.073611111,106,DC,Justice League,45,2.31,72,Male,2022,216100809,93704678,225000000,Flop
Black Adam,2022-10-21,168152111,225100000,393252111,200000000,FALSE,NA,Warner Bros.,PG-13,0.086805556,125,DC,Shazam,43,1.97,38,Male,2022,409439582,208232617,500000000,Flop
Black Panther: Wakanda Forever,2022-11-11,453829060,405379776,859208836,250000000,TRUE,4,Walt Disney Studios Motion Pictures,PG-13,0.111805556,161,Marvel,Black Panther,53,3.44,83,Female,2022,859208836,250000000,625000000,Success
Ant-Man and the Wasp: Quantumania,2023-2-17,214504909,261566271,476071180,200000000,TRUE,5,Walt Disney Studios Motion Pictures,PG-13,0.086111111,124,Marvel,Ant-Man,45,2.38,46,Co-starring,2023,476071180,200000000,500000000,Flop
Shazam! Fury of the Gods,2023-3-17,57638006,76200000,133838006,125000000,FALSE,NA,Warner Bros.,PG-13,0.090277778,130,DC,Shazam,43,1.07,49,Male,2023,133838006,125000000,312500000,Flop
Guardians of the Galaxy Vol. 3,2023-5-5,358995815,486559962,845555777,250000000,TRUE,5,Walt Disney Studios Motion Pictures,PG-13,0.104166667,150,Marvel,Guardians of the Galaxy,42,3.38,82,Male,2023,845555777,250000000,625000000,Success
Spider-Man: Across the Spider-Verse,2023-6-2,381311319,309205354,690516673,100000000,FALSE,NA,Columbia Pictures,PG,0.097222222,140,Marvel,Spider-Man,55,6.91,96,Male,2023,690516673,100000000,250000000,Success
The Flash,2023-6-16,108133313,162500000,270633313,200000000,FALSE,NA,Warner Bros.,PG-13,0.1,144,DC,Flash,40,1.35,63,Male,2023,270633313,200000000,500000000,Flop
Blue Beetle,2023-8-18,72488072,56800000,129288072,120000000,FALSE,NA,Warner Bros.,PG-13,0.088194444,127,DC,Blue Beetle,56,1.08,78,Male,2023,129288072,120000000,300000000,Flop
The Marvels,2023-11-10,84500223,121373601,205873824,219800000,TRUE,5,Walt Disney Studios Motion Pictures,PG-13,0.072916667,105,Marvel,Captain Marvel,41,0.94,62,Female,2023,205873824,219800000,549500000,Flop
Aquaman and the Lost Kingdom,2023-12-20,124436589,309900000,434336589,205000000,FALSE,NA,Warner Bros.,PG-13,0.086111111,124,DC,Aquaman,29,2.12,35,Male,2023,434336589,205000000,512500000,Flop
Madame Web,2024-2-14,42619699,54000000,96619699,80000000,FALSE,NA,Columbia Pictures,PG-13,0.080555556,116,Marvel,Spider-Man Allies and Villains,44,1.21,13,Female,2024,96619699,80000000,200000000,Flop
